City,Density,Population,Latitude,Longitude
Shillong,828906466.164424,375527,25.570500,91.880000
Xuchang,828872228.118958,449258,34.020400,113.820000
Allahabad,828856422.668405,1201000,25.455000,81.840000
Varanasi,828842081.443220,1352000,25.330000,83.000000
Jhang,828827801.245895,341210,31.280400,72.325000
Zhengzhou,828787087.172339,2636000,34.755000,113.665100
Saidu,828650819.101960,1860310,34.750000,72.350000
Mardan,828589854.094565,300424,34.200000,72.040000
Sikar,828575661.719185,400000,27.610400,75.140000
Panzhihua,828570747.245822,461513,26.550000,101.730000
Jinshi,828544462.293498,274000,29.632100,111.851700
Quiemo,828506509.068563,32494,38.133800,85.533300
Luohe,828452310.731490,417356,33.570000,114.030000
Mirzapur,828112585.959272,245817,25.145400,82.570000
Jinchang,828081026.494500,144363,38.495700,102.173900
Jamalpur,828031776.119499,167900,24.900400,89.950000
Jaipur,828004977.361251,2917000,26.921100,75.810000
Jianmen,827923151.592790,1708000,30.650100,113.160000
Kohima,827908759.055125,92113,25.667000,94.116600
Lupanshui,827878177.285354,1221000,26.594400,104.833300
Peshawar,827874873.138722,1303000,34.005000,71.535000
Kohat,827800951.941616,343027,33.602700,71.432700
Kundian,827753471.182726,35406,32.452200,71.471800
Changzhi,827752144.393980,706000,36.183900,113.105300
Xinxiang,827721207.336838,903000,35.320400,113.870000
Gaya,827689815.147262,423692,24.800000,85.000000
Anlu,827681282.395792,71198,31.270000,113.670000
Xinyang,827677886.816527,1541000,32.130400,114.070000
Jiexiu,827585897.795347,77178,37.040000,111.900000
Shishou,827583544.488712,231787,29.700400,112.400000
Huize,827561629.211295,5170,26.350400,103.416700
Tongren,827462219.022803,118290,27.680400,109.130000
Yinchuan,827459225.813925,991000,38.468000,106.273000
Mymensingh,827427983.810603,330126,24.750400,90.380000
Nawabganj,827422421.024386,142361,24.580400,88.350000
Aurangabad,827418845.951130,95929,24.770400,84.380000
Changde,827348130.567892,1469000,29.030000,111.680000
Guangshui,827297390.852480,154771,31.620400,114.000000
Kaifeng,827148953.158748,872000,34.850000,114.350000
Sylhet,827002471.664634,237000,24.903600,91.873600
Zhoukou,826935677.143309,377061,33.630400,114.630000
Jhansi,826857228.590462,826494,25.453000,78.557500
Zhangye,826798804.470243,230728,38.930000,100.450000
Asadabad,826774037.733917,48400,34.866000,71.150000
Rajshahi,826765878.038573,810000,24.375000,88.605000
Xiantao,826690899.970079,1556000,30.370400,113.440000
Shache,826552404.967896,373492,38.426100,77.250000
Xiaogan,826544928.880472,160437,30.920400,113.900000
Guiyang,826526630.200404,3662000,26.580000,106.720000
Alxa Zuoqi,826429244.409819,56387,38.839000,105.668600
Dera Ismail Khan,826224117.616065,101616,31.829000,70.898600
Bannu,826197137.808189,622419,32.989000,70.598600
Yulin,826088694.776262,155960,38.283300,109.733300
Tangail,826083366.250156,180144,24.250000,89.920000
Silchar,826027183.327531,152393,24.790400,92.790000
Hebi,825998587.034437,244662,35.950400,114.220000
Dali,825970987.606674,156685,25.700000,100.180000
Anshun,825917755.581961,849000,26.250400,105.930000
Jalalabad,825836286.498139,597971,34.441500,70.436100
Zhijiang,825832555.879208,113907,27.440900,109.678000
Bikaner,825828429.382810,576015,28.030400,73.329900
Multan,825709698.965110,1522000,30.200000,71.455000
Tonk,825619505.395895,181734,26.150500,75.790000
Myitkyina,825520882.256231,139100,25.359600,97.392800
Anyang,825480703.517280,887000,36.080000,114.350000
Pabna,825421509.034539,137888,24.000400,89.250000
Parachinar,825342587.951795,55685,33.899200,70.100800
Imphal,825299451.164042,264986,24.800000,93.950000
Mehtar Lam,825292714.969368,17345,34.650000,70.166700
Yueyang,825121716.252231,826000,29.380100,113.100000
Wuhan,824900195.561728,7243000,30.580000,114.270000
Bahawalpur,824877851.871000,552607,29.390000,71.675000
Jieshou,824810675.287983,141993,33.250400,115.350000
Yiyang,824727146.971517,1352000,28.600400,112.330000
Yuci,824691980.832832,840000,37.680400,112.730000
Shizuishan,824634738.704631,136570,39.233300,106.769000
Zhanyi,824620791.404696,652604,25.600500,103.816600
Dhanbad,824570182.747025,1246000,23.800400,86.420000
Puyang,824565775.450494,666322,35.700400,114.980000
Ajmer,824419230.499575,589985,26.450000,74.640000
Taiyuan,824387303.422787,2913000,37.875000,112.545100
Khorugh,824293331.661023,30000,37.487500,71.547600
Asansol,824268182.525314,1328000,23.683300,86.983300
Handan,824203080.951264,1631000,36.580000,114.480000
Baoshan,824151351.094291,1000000,25.120000,99.150000
Dhaka,824113276.445285,12797394,23.723100,90.408600
Jiayuguan,824085154.963012,148279,39.820000,98.300000
Yumen,824070007.633091,350000,39.830000,97.730000
Tengchong,824028412.345522,126058,25.033300,98.466600
Puqi,823919354.060251,205164,29.720400,113.880000
Shangqiu,823897999.199260,1753000,34.450400,115.650000
Heze,823888302.878094,1338000,35.230000,115.450000
Agartala,823832094.434673,203264,23.835400,91.280000
Mahmud-E Eraqi,823716102.055317,7407,35.016700,69.333300
Feyzabad,823685596.773511,64704,37.129800,70.579200
Narayanganj,823630605.025223,223622,23.620400,90.500000
Kashgar,823629036.207800,543914,39.476300,75.969900
Kabul,823616733.032596,3277000,34.516700,69.183300
Macheng,823609875.022826,126366,31.180000,115.030000
Gardiz,823597954.050237,103601,33.600100,69.214600
Dera Ghazi Khan,823562814.036904,236093,30.060400,70.635100
Charikar,823428593.527830,53676,35.018300,69.167900
Krishnanagar,823266180.073060,145926,23.380300,88.530000
Dunhuang,823188507.182996,140094,40.142700,94.662000
Baraki Barak,823184236.684749,22305,33.966700,68.966700
